article	property	value
https://be.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD:%D0%92%D0%BE%D0%BD%D0%BA%D0%B0%D0%B2%D1%8B%D1%8F_%D1%81%D0%BF%D0%B0%D1%81%D1%8B%D0%BB%D0%BA%D1%96	http://schema.org/about	http://www.wikidata.org/entity/Q3907614
https://be.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD:%D0%92%D0%BE%D0%BD%D0%BA%D0%B0%D0%B2%D1%8B%D1%8F_%D1%81%D0%BF%D0%B0%D1%81%D1%8B%D0%BB%D0%BA%D1%96	http://schema.org/inLanguage	be
https://be.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD:%D0%92%D0%BE%D0%BD%D0%BA%D0%B0%D0%B2%D1%8B%D1%8F_%D1%81%D0%BF%D0%B0%D1%81%D1%8B%D0%BB%D0%BA%D1%96	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://schema.org/Article
https://be.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD:%D0%92%D0%BE%D0%BD%D0%BA%D0%B0%D0%B2%D1%8B%D1%8F_%D1%81%D0%BF%D0%B0%D1%81%D1%8B%D0%BB%D0%BA%D1%96	http://schema.org/name	Шаблон:Вонкавыя спасылкі
https://be.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD:%D0%92%D0%BE%D0%BD%D0%BA%D0%B0%D0%B2%D1%8B%D1%8F_%D1%81%D0%BF%D0%B0%D1%81%D1%8B%D0%BB%D0%BA%D1%96	http://schema.org/isPartOf	https://be.wikipedia.org/
https://bg.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD:%D0%9D%D0%BE%D1%80%D0%BC%D0%B0%D1%82%D0%B8%D0%B2%D0%B5%D0%BD_%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB	http://schema.org/about	http://www.wikidata.org/entity/Q3907614
https://bg.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD:%D0%9D%D0%BE%D1%80%D0%BC%D0%B0%D1%82%D0%B8%D0%B2%D0%B5%D0%BD_%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB	http://schema.org/inLanguage	bg
https://bg.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD:%D0%9D%D0%BE%D1%80%D0%BC%D0%B0%D1%82%D0%B8%D0%B2%D0%B5%D0%BD_%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://schema.org/Article
https://bg.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD:%D0%9D%D0%BE%D1%80%D0%BC%D0%B0%D1%82%D0%B8%D0%B2%D0%B5%D0%BD_%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB	http://schema.org/name	Шаблон:Нормативен контрол
https://bg.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD:%D0%9D%D0%BE%D1%80%D0%BC%D0%B0%D1%82%D0%B8%D0%B2%D0%B5%D0%BD_%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB	http://schema.org/isPartOf	https://bg.wikipedia.org/
https://bh.wikipedia.org/wiki/%E0%A4%9F%E0%A5%87%E0%A4%AE%E0%A5%8D%E0%A4%AA%E0%A4%B2%E0%A5%87%E0%A4%9F:Authority_control	http://schema.org/about	http://www.wikidata.org/entity/Q3907614
