Root path: ../../graphs/oecdTopics/
Sample Size: 100

type; dataset; language; mean; stdgml; work; fr; 0.0; 0.0
gml; archaeological site; ml; 0.0; 0.0
gml; archaeological site; sh; 0.00322743275182966; 0.0014865297505471829
gml; archaeological site; nl; 0.0014169134536568054; 0.0009162516964746783
gml; archaeological site; si; 0.0; 0.0
gml; archaeological site; pt; 0.0019714355847316053; 0.001158125483319125
gml; archaeological site; ro; 0.006362404685890597; 0.0030186318719545063
gml; archaeological site; ja; 0.0; 0.0
gml; archaeological site; simple; 0.003406591121949092; 0.0045090627706634145
gml; archaeological site; it; 0.0029426105516850796; 0.0007459346247628343
gml; archaeological site; ceb; 0.0; 0.0
gml; archaeological site; he; 0.0; 0.0
gml; archaeological site; da; 0.009049584174621834; 0.0026350074540072745
gml; archaeological site; en; 0.005592733758998262; 0.0004975018367272464
gml; archaeological site; sr; 0.0; 0.0
gml; archaeological site; sv; 0.0023757865805921568; 0.0012047837941119063
gml; archaeological site; ckb; 0.0; 0.0
gml; archaeological site; ru; 0.0; 0.0
gml; archaeological site; hi; 0.0; 0.0
gml; archaeological site; arz; 0.0; 0.0
gml; archaeological site; bs; 0.011628852233245945; 0.009033984722304695
gml; archaeological site; te; 0.0; 0.0
gml; archaeological site; zh; 0.0; 0.0
gml; archaeological site; mk; 0.0; 0.0
gml; archaeological site; hu; 0.005158333312763579; 0.0016240518800179121
gml; archaeological site; ko; 0.0; 0.0
gml; archaeological site; war; 0.0; 0.0
gml; animal; id; 0.08; 0.2712931993250107
gml; animal; fr; 0.05; 0.21794494717703367
gml; animal; mr; 0.0; 0.0
gml; animal; tr; 0.0; 0.0
gml; animal; lv; 0.0; 0.0
gml; animal; el; 0.0; 0.0
gml; animal; es; 0.0; 0.0
gml; animal; pl; 0.0; 0.0
gml; animal; vi; 0.0; 0.0
gml; animal; de; 0.0; 0.0
gml; animal; ml; 0.0; 0.0
gml; animal; sh; 0.0; 0.0
gml; animal; nl; 0.0; 0.0
gml; animal; pt; 0.0; 0.0
gml; animal; ro; 0.0; 0.0
gml; animal; ja; 0.0; 0.0
gml; animal; simple; 0.0; 0.0
gml; animal; it; 0.0; 0.0
gml; animal; he; 0.0; 0.0
gml; animal; da; 0.0; 0.0
gml; animal; en; 0.07380952380952381; 0.10087485792530884
gml; animal; sr; 0.0; 0.0
gml; animal; sv; 0.0; 0.0
gml; animal; ru; 0.0; 0.0
gml; animal; hi; 0.0; 0.0
gml; animal; arz; 0.0; 0.0
gml; animal; bs; 0.0; 0.0
gml; animal; te; 0.0; 0.0
gml; animal; zh; 0.0; 0.0
gml; animal; mk; 0.0; 0.0
gml; animal; hu; 0.0; 0.0
gml; animal; ko; 0.0; 0.0
gml; vocabulary; fr; 0.0; 0.0
gml; vocabulary; es; 0.0; 0.0
gml; vocabulary; de; 0.0; 0.0
gml; vocabulary; ro; 0.0; 0.0
gml; vocabulary; ja; 0.0; 0.0
gml; vocabulary; en; 0.0; 0.0
gml; vocabulary; ru; 0.0; 0.0
gml; vocabulary; zh; 0.0; 0.0
gml; vocabulary; hu; 0.0; 0.0
gml; Ancient Greece; es; 0.0; 0.0
gml; Ancient Greece; en; 0.0; 0.0
gml; stellar magnetic field; zh; 0.0; 0.0
gml; human behaviour; id; 0.0; 0.0
gml; human behaviour; fr; 0.06; 0.23748684174075835
gml; human behaviour; mr; 0.0; 0.0
gml; human behaviour; tr; 0.59; 0.4918333050943175
gml; human behaviour; lv; 0.0; 0.0
gml; human behaviour; el; 0.0; 0.0
gml; human behaviour; es; 0.06333333333333332; 0.1307669683062202
gml; human behaviour; pl; 0.08; 0.2712931993250107
gml; human behaviour; vi; 0.0; 0.0
gml; human behaviour; de; 0.02; 0.13999999999999999
gml; human behaviour; ml; 0.0; 0.0
gml; human behaviour; sh; 0.0; 0.0
gml; human behaviour; nl; 0.0; 0.0
gml; human behaviour; pt; 0.0; 0.0
gml; human behaviour; ro; 0.0; 0.0
gml; human behaviour; ja; 0.0; 0.0
gml; human behaviour; simple; 0.23; 0.2389560629069704
gml; human behaviour; it; 0.15; 0.3570714214271425
gml; human behaviour; he; 0.0; 0.0
gml; human behaviour; da; 0.0; 0.0
gml; human behaviour; en; 0.03133333333333333; 0.059561020403575624
gml; human behaviour; sr; 0.0; 0.0
gml; human behaviour; sv; 0.0; 0.0
gml; human behaviour; ru; 0.0; 0.0
gml; human behaviour; hi; 0.0; 0.0
gml; human behaviour; arz; 0.0; 0.0
gml; human behaviour; bs; 0.0; 0.0
gml; human behaviour; te; 0.0; 0.0
gml; human behaviour; zh; 0.0; 0.0
gml; human behaviour; mk; 0.0; 0.0
gml; human behaviour; hu; 0.47; 0.49909918853871116
gml; human behaviour; ko; 0.0; 0.0
gml; plant structure; id; 0.031071606849368508; 0.015509325000145851
gml; plant structure; fr; 0.016265627566036327; 0.004835711969879903
gml; plant structure; mr; 0.0; 0.0
gml; plant structure; tr; 0.019765665554319613; 0.026221951027258196
gml; plant structure; lv; 0.04665160926030491; 0.04414687378645999
gml; plant structure; el; 0.0; 0.0
gml; plant structure; es; 0.0117674534083402; 0.005761010311614317
gml; plant structure; pl; 0.00967429541391137; 0.005432251574676047
gml; plant structure; vi; 0.0; 0.0
gml; plant structure; de; 0.013665868509527494; 0.004867245523579685
gml; plant structure; ml; 0.0; 0.0
gml; plant structure; sh; 0.04587652480346978; 0.04031187201115888
gml; plant structure; nl; 0.11500537352816624; 0.0033844709129191354
gml; plant structure; si; 0.0; 0.0
gml; plant structure; pt; 0.00806544474217916; 0.005603565022475942
